sentiment,text,data_id
positive,Fast easy ice.,71
negative,"Shame on you! It didn't wo r k right to begin with,then quit altogether after 60 days?!!!! Where is your moral compass???!!! Some people are on fixed incomes,not that it matters to your profit!!! Junk! Junk junk and more junk with ZERO accountability!!!!",71
positive,"I mean, it's a dishwasher part, it worked.",71
positive,"We love our dishwasher, but sometimes we have more silverware than fits in it's silverware basket.  This basket solves that dilemma.  I've only used the smaller of the two basket sections, but I can easily add the extra place settings so nothing is crowded.  The basket is sturdy, handy, fits in either the upper or lower dishwasher rack, and is just what I was looking for to increase the quantity of silverware that can be washed at one time.",71
positive,Nothing's worse than running out of coffee filters. We've done this bulk buy several times and it always lasts us about a year. Great quality filters.,71
positive,Good quality silicon rubber. Great price.,71
negative,"I received these and I was so excited, I immediately put them in the dishwasher so I could get them cleaned and ready to use, little did I know they are NOT dishwasher safe. 😞 As soon as I pulled them out of the dishwasher and sat them on the counter the containers were wobbly and the lids were warped.<br />I didn’t receive any papers instructing how to clean them so I didn’t know they weren’t dishwasher safe. I went back on Amazon and read under the description to realize that they weren’t. A mistake on my part I guess for not reading the description completely when I ordered them.",71
positive,It is the best value around,71
negative,"Hello, i purchased this items to clamp a 4 inch dry duct and they are a little to big when screwed all the way down on flange. It works and holds it in place , but any bump and it may come off. we fixed it with duct tape anyways.",71
positive,Great Product! If you go to the store 1 of these go for $49.99. Getting three for this bargain price is worth ever penny!,71
positive,It's like the washing machine is new again.,71
negative,"Disappointed as I thought it was made better than this.  It appears the mesh cone is only being held together by tension.  So do I buy 2 more, one as a spare for when this happens again, or toss my jars and look for something else?",71
positive,"Water is clean, original new filter sent by Amazon. Tip, to remove cloudy residue you have to run the water atleast a gallon before drinking.",71
positive,Came on time and has worked fine since we got it. No complaints.,71
negative,Have purchased several of these and they last about a month before the drawer pops open and will not stay closed,71
negative,This ice maker is a joke. If you want to be humored buy this and watch it make funny looking ice cubs that melt before the next batch comes out.  Sent it back for a refund.,71
negative,"The handle fits, but I cannot make it stay anchored to the door.... am I doing something wrong?",71
positive,"We were required to install one as a part of our home inspection, it went in easily and was a cheap fix!",71
positive,"I bought this off CL and really like it. My w/d hookups aren't in yet, and it's saved me from going to the laundry locally. It does a good job washing and not a hassle at all to use. I'm in Arizona where the air is dry anyway, so my clothes drip dry outside in no time flat. Definitely a worthy way to do laundry on the cheap.",71
positive,Great product. Last a long time and work great,71
positive,"easy setup, noticeable fresher laundry with less detergent.  All around impressed, the blue light when active is a nice touch.  I can only imaging the negative reviews are from people setting their washer to use hot water when this only mixes ozone into the cold water.",71
positive,Great purchase.  So much cheaper than the pre-filled cups.  Easy to clean.,71
positive,Look just like the originals. TO bad they break frequently,71
positive,"Easy to order, came the next day, easy to put right in place and works just as it is suppose to, saved nearly $200 by doing it myself.",71
negative,Great idea but didn’t fit remotely.,71
positive,Got my mom's oven working the day it arrived.,71
positive,good price,71
positive,Good product.  Be very careful when pushing it onto the motor shaft as the motor shaft may come out of the motor housing and you will break a blade like i did and have to order a second one.,71
positive,Easy to use and makes brewing easier without having to use inverted methods every time.,71
negative,"had it plugged in for several days and did not work - would not run, did not cool - ended up sending it back. Disappointed.",71
positive,Washer working great,71
positive,The cover look like it is made with high quality materials. It even comes with the two gap covers that match the cover for the stove. Great product. Easy to install and easy to clean.,71
positive,Perfect and affordable replacement part for my LG washer.,71
positive,"this is the exact part I needed, it came in on time and now my wife is a happy camper. dryer works again. And changing IT OUT WAS A CINCH.",71
positive,Really easy to install. Absolutley beautiful. Excellent temperature control and a breeze to clean. Sheer perfection.,71
positive,Water filter was easy to install and everything seems to be working well. Only thing I dislike is the price .... very expensive compared to other brands.,71
negative,*worked great for a few months<br />*LEAKS enough that it has ruined my coffee bar<br />*difficult to clean<br />*Leaks water and some other type of fluid<br />DO NOT RECOMMEND!!!,71
positive,Fácil de instalar,71
positive,"I with the set came with one more short piece because my fridge has one side with spoilt handles. Still, they look great, fit well, stay on well, and keep the handles clean.",71
positive,Repair takes longer than expected but it improves the sound issue drastically.  15 year old dryer works great but one wheel was bad.  Swapped out all 4 and have the additional pieces on hand in the event the belt or pulley breaks.,71
positive,Best coffee filters I’ve every bought!!,71
positive,not much to saythey are fine fit my stove  wereVERY FAST WITH DELIVERY,71
positive,Perfect,71
negative,"I love single cup pour overs, but this one brews too weak with four drainage holes. Stick with the Melitta if you like your coffee to taste like coffee and not just water.",71
positive,Works great and he is now a brewing fool,71
positive,"I installed this kit 3 days ago and it is running quiet and working as expected. Considering the cost of this entire kit is approximately what I recently paid for 1 OEM roller only time will tell if it will hold up. Looking at it, it appears similar in quality to the original equipment. I recently made the mistake of changing just 1 bad roller with an OEM roller only to have to take everything back apart 3 weeks later when another roller went so moving forward I will never do that again. I thought the price was very good and decided to get this kit to replace al the wearable parts. I can also tell you the seller has contacted me twice since getting this to see if I had any questions or needed any help with installation. So far so good. I will try to remember to leave an update in a few months.",71
positive,Gifted,71
positive,"This ice maker is perfect for my house! It makes about 3 lbs. an hour. I learned that by adding a few ice cubes to the water reservoir helps make the ice faster being that it takes less time to get cold. Overall, this machine is the best one yet!",71
positive,Got the dryer working again Yippeeee!!!,71
positive,"Super sensitive and accurate.  With home heating costs ridiculously high, it's a great tool for monitoring the ambient temperature and adjusting accordingly. Thanks, Goabroa!!!",71
positive,These adaptors work great in the newer keurigs.,71
positive,Fits perfect and does the job,71
positive,Easy to install and so far its holding up without any issues whatsoever.,71
negative,I had the same issue other people did. This dang filter only lasted 2 weeks. Refunded it and went to Lowes!!,71
negative,Worked great for 2 weeks then adhesive wore off.. and now sometimes the keys dont unlock....,71
positive,Works well,71
positive,"This is now supported by Vera, however I have moved to openHAB and it works fine.  Even better than the Fibaro multisensors with one caveat.  The temperature readings are a little off when I use a high accuracy thermometer.  There is a setting to adjust this and once done it tracks just fine.  I also have one outside and it works just fine.  Granted it is covered and pointed towards my front door to prevent false trips.  The temperature range in my area is 20F-100F.  So far I haven't had any issues with it outside in a covered area and the motion sensor seems to work just fine, although the manual says to disable it.",71
positive,Worked perfectly and appears to be of high quality.,71
positive,I used all of the great advice that people have written in. My only problem now is the sludge in the bottom of the coffe cup which means that the coffe my husband likes is too finely ground?,71
positive,Part worked out great.,71
positive,Filters arrived on time and were as advertised.,71
negative,This product does not work. It worked for a week and afterwards it didn’t.<br />I have changed the battery also and it still doesn’t work.,71
negative,"Unable to return, slow coffee drop.  Coffee tastes of metal.",71
positive,Great Deal and Easy to Install,71
positive,"I don't understand why more hardware stores, including the big box variety, don't carry this product. It is a must have for plumbers because it will pretty much solve every dishwasher to garbage disposal connection situation there is. You can even stock up your SS clamp supply with the two clamps you don't use. The materials used are excellent and should never result in a call back.",71
positive,I purchased this filter to replace a damaged one and I just love it!  I use this for a single cup of coffee and insert it in a mug.  It's so easy to use and make a delicious cup of coffee.  It's also very easy to clean and I love the stand that comes with it.<br /><br />I highly recommend it!,71
positive,"Easy to install, so far it’s working correctly.<br />It’s a little noisier than the original pump but not too bad.<br />Hopefully it will last many years?  Time will tell.",71
negative,The bottom zone DOES NOT GO TO 44 Degrees like the website description. IT only goes to 50 degrees.,71
negative,"Tarda mucho en secarse la ropa, hasta me conviene secar la ropa en el sol",71
positive,"The belt and tensioner pulley were slightly different than the original parts, but everything fit and worked perfectly. Took about 2 hours to replace the parts. Very happy that the squeaking is gone.",71
negative,It was broken the day I got it but I missed the return window because it slipped my mind...<br /><br />It basically worked for about 6 min but made an awful metal chipping at metal sound rapidly and then it died.  I assume something broke off and got stuck in the motor or the motor was just defective or badly made,71
negative,I wouldn't recommend using a humidifier that fits these if you have hard water. Our water has lots of dissolved solids and these filters end up losing their effectiveness in about half the expected time. These just don't hold up and get hard and moldy too quick.,71
positive,These worked perfectly,71
positive,"nice upgrade from old maytag filter, flows fast",71
positive,"Purchased a while ago just for the heating element for my daughters dryer. It was easy to install, fit perfectly, and still going strong. Great value!",71
positive,"Perfect fit, great value,",71
positive,Look good ease of cleaning  Thanks,71
positive,Recibido tal como la foto,71
positive,"I was a little hesitant since this only includes the lid and not the pod, but it works. There are so many options on amazon, that I was unsure as to which one would work best, but I took my chances with this one. I’m glad I did. This is a great alternative to buying new pods because those pods are expensive. Compared to other options though, this one seems to be on the more expensive side. Since I haven’t tried any others, I’m not sure if paying a higher price is the best way to go. However, these do work well, and I would recommend them to a friend. Made in China.",71
negative,Lil guy doesn't stand up well. I had to add stronger magnets. But he is cute,71
positive,Part arrived quick and was exactly what I needed to repair my dryer.  Thanks!,71
positive,"[[VIDEOID:c506936a4250cd04e3ed0a8fe7e7767b]] I've been using this for about 5 months now and it works great. Just connect it up to a sink faucet. I bought a $10 wheeled stand at Home Depot so that I can easily store it away. It's a bit confusing at first how to customize the cycles but the way I do it is:<br /><br />1. Plug in<br />2. Load laundry and add detergent on top and close the lid<br />3. Press the power button<br />4. Press Program to go to Gentle mode<br />5. Press load size depending on how much I put in: 1 is the smallest load and three is the largest load. It loops around so keep pressing until you get the number you want.<br />6. Press the Wash button to pick how many minutes each wash will take. This loops around too. I usually pick 8 minutes.<br />7. Press the Rinse button to pick how many rinses to do. This loops around too. I usually just pick 1.<br />8. Then I press the play button to start. With the above settings, the whole wash takes about 24 minutes. If I forgot to put something in while it's going, I press the play button to pause it, open the lid, add the items, close the lid, and click play to continue.<br /><br />I bought a matching electrical dryer: YOLENY Electric Portable Compact Laundry Dryer 1.6 cu.ft, 9 lbs Load Stainless Steel Portable Dryer, 4 Drying Mode, Cold Air Care, for Apartments, White",71
positive,Just exactly what I needed.,71
positive,"The part fit perfectly but the shipping from ups sucks. It came damaged and the 2nd one<br />The box was damaged  but the part was not damaged, it came from the us mail. You may need to package your parts better because of shipping.<br />Thanks",71
negative,"I have no issue with the seller/supplier on this valve assembly, fair price, arrived early and is working. Note: The original factory tape seal on the carton was opened and re taped, so I suspect it was maybe returned at one time and reshipped to me. Regardless, it is working.<br />NOTE: In the assembly process you need to pry out three plastic tubes from the old valve assembly. During this process you will tear up the ends of the old tubes, could cause a leak when reinstalled. No problem for the two outlets, clear vinyl tubing used (just cut off an inch of the vinyl tubing and push in the tubing). Same as the original.<br />The change I noticed is in the water inlet. The manufacturer is using the connection and loose piece locking device as used for the soft vinyl tubing (the old unit had a solid locking device). ""I hope it holds"". The water inlet tube is a firm gray colored tube with a tapered end, so you cannot cut off the end, plus this tube is a custom length ( I suggest you purchase a new tube, if you are purchasing this valve). Anyway, The tubing was just slightly scared from when removed from the solid locking insert, so I wrapped the tapered end of the tubing with some Teflon tape and pressed in the tube, so far so good. But if it starts to leak  will need to replace this tube.<br />Suggestion to the sell of the valve assembly ""suggest end users to replace the inlet gray plastic tube, when replacing the valve assembly"". Maybe a few bucks more, but could save time and money in the long run.",71
positive,No thank you,71
positive,Works great.  Allows me to run my drier in my basement without having to run the duct to the exterior.,71
positive,Worked great on my 40 year old Whirpool oven,71
negative,"Okay,  3 stars because it does what it promises.  It seems substantial enough, fit and finish are fine, and the door now opens and closes. But...  It opens and closes very loudly!  Imagine the old horror shows on tv, where the crypt opens, squeaking all the way, at full volume.  That!<br />If I had seen that coming, I would have definitely paid the difference for OEM.",71
positive,real deal here too...not some after market knockoff..,71
positive,works perfectly,71
positive,Fits as expected. Easy to change,71
negative,Alright so I had the same failure happen on my Kenmore oven. The part is obviously poorly designed and is a hodge podge of Chinese and American standards.<br /><br />Solution: Remove the handle from the oven. Remove bushings from the handle (Do not strip handle threads!!!). Go buy an M8 (1.25)-40mm machine screw and collar washer from big box store. It'll screw right into place and oddly fits the holes in the oven perfectly. You may have to widen the plastic holes. I used a 19/64 bit,71
negative,Not well made. Face comes off during use. Lint drawer opens from heat also.,71
positive,I'm so glad my dishwasher doesn't make a clunking sound anymore. Pretty easy to install. I don't even know how the last tenant managed to lose two bottom rack wheels.,71
positive,Worked well. It definitely made my washer more quiet but it’s older and very loud so not the total quiet I was hoping for but still an improvement. I would recommend.,71
positive,So far they are working great.  I put them in by myself but it would have easier with someone the help,71
positive,Perfect fit...,71
positive,My Samsung dryer wasn't heating. The appliance store here wanted 100 bucks to replace the part. I did some searching and found this part for 20 dollars. Youtubed how to fix it and 40 minutes later the dryer was back to working like new. Saved me a bunch of money and if you can use a screw driver (or drill) and can put things back together you will save yourself some money. Thank goodness!! Highly recommend going this route.,71
negative,"- Worked for 1 month, then plugged up (no water flow)<br />- Replacement worked for 1 month, then plugged up.<br /><br />(Used earlier versions of this filter for about 10 years, no issues, same plumbing, same city water source.)",71
positive,Easy to install and works perfect!,71
positive,Worked perfectly. Took 10 minutes to install. Good quality plastic,71
positive,Excellent replacement for our cracked top. Easy to replace and reasonably priced,71
positive,Very happy with product and price.,71
positive,Excellent,71
negative,"I have ordered two of these now. Both from Home Depot. The first one was a 2.6 cubic ft for $195 we got it home, out of the box and the door won’t latch. The company told us to go back to the store. Well the store is it of stock, so they ordered the 3.6 cubic ft for us at the same price, Awesome bigger dryer lower price. Well we went to pick it up two days ago this time we opened it at the store for inspection, same exact problem. THE DOOR WONT LATCH. the sent it back right away and we got a Haier for the same price. The first new air we got we still have till the new one comes in we’ve had it for 3 weeks other then having to duct tape the door shut it works great. The filters keep all the lint from coming out so we have it hooked up to a ventless unit that you put water in then just crack the window to let the humidity out.",71
negative,Doesnt last long enough,71
positive,ON THE 3RD MONTH AND HAD NO PROBLEMS....AND TO THINK I WAS GOING TO BUY A NEW WASHER,71
positive,"These all metal knobs are a huge improvement over the old plastic ones on my GE Profile range.  The chrome coating on the old ones had started peeling and looked terrible.  So happy to find these for a fraction of the cost of original factory parts.  Like others have noted, these do stick out a little further from the backplate than the original, but it is hardly noticeable.  Very happy with my purchase.",71
positive,So nice and looks good,71
negative,Bought this October 2022 and it just crapped out on us.,71
positive,Better than original.  Found a YouTube video that made the install even easier,71
positive,Filters appear to be the same as the ones that came with my coffee maker when purchased.  Quality is very good.,71
positive,"As advertised. The original filters have a reinforcement mesh to help hold the shape when used. So far, We are very satisfied.",71
positive,The GE Baker element was the perfect fit for our 25 year old double oven. We will be odering another for the other oven.,71
positive,My microwave “key” broke and this was exactly what I needed to make it work again!,71
positive,"The unit was fine but, was the updated model and could not be used as a replacement for mine. The company I bought it from had excellent customer service.",71
positive,The shipping was very quick! Part was exactly what I needed!,71
positive,Fit the freezer I bought it for,71
positive,these are great i got them for my washer and dryer they do make a difference very sturdy and durable,71
positive,Works great.  When we first install this filter we have to run about to gallons of water.  The first couple gallons of water taste funny and then it's<br />Fine.  Could just be the fact that we wait forever to replace our filter when it tells us to.  Love theses filters.  The cost 1/3 of what it does to by it in town.,71
positive,"Shipment came earlier than expected, which was awesome!  Easy to install and ware taste great.  This was a great deal!  Highly recommend.",71
positive,"Part was an exact match, works great.  Fixed my dryer.",71
positive,"I buy fresh eggs from a duck and chicken farm.  There is never enough store egg cartons, so I carry these home carefully in a cardboard box, wash them and put them up in the fridge on a towel.<br />Now I can load up on one container, wash and place in a clean one.<br />Lid does not close using farm eggs, because you never know the exact sizes.<br />Other than that,  I'm a happy egg 🥚",71
positive,"Only problem I have is cleaning after use, hard to get the coffee grounds out.",71
positive,"Shipping is fast and the part is what we needed. The only reason for less than five stars is this is the third agitator we have replaced.  More of a reflection on design. There is a metal spline on the end of the shaft in the washer, this slides into the plastic agitator. This wears out after a year or two.",71
negative,"A little noisy, arrived with several dents but did not want to deal with returning...",71
positive,good price,71
positive,"My dishwasher was occasionally filling up with water, when I didn't want it to. Generally not much, but enough that when we went on a trip for a week or two, it kept filling and overflowed onto the kitchen floor! This took about 15 minutes to install... I'm not an expert but I am decent enough with tools. Hardest part was getting the old 90 degree angle piece off the old unit to reuse it (you could also buy a new one I suppose, but I figured it'd be safe to reuse). Dishwasher has not inadvertantly filled since!",71
positive,Good product,71
negative,I don’t like the type of ice. It is like refrigerator ice not in little blocks or pellets.,71
positive,Absolutely love it.  So organized now.,71
positive,"After going through 100 they have been great.<br />I highly reccomend refilling your own pods. Its been a game changer, Im currently using Peets coffee (west coast) and it brews just fine.<br /><br />Pro tips:<br />Make sure you center the foil perfectly on the pods.<br />Dont pack too much grinds in your pods leave abt 1/16"" from the top<br />Press foil on and fold over the edges.<br />Make sure the tab on bottom does not cover up the barcode on the bottom of pod.<br />The barcode on bottom of pod tells the nespresso how to brew, so make sure you pay attention to the pods used.<br />Make sure there arent grinds on the edge of pod before capping it with foil seal.<br /><br />Works with espresso grinds and coffee grinds.",71
negative,Package severely messed up and the cutter was not included.,71
negative,"product is not heat resistance , after turning the stove on a couple time they started to burn and turn white",71
positive,"Wish I bought this a long time ago. We have limited space and couldnt fit a traditional washer and dryer in a small ""closet"" type space in our dining room. This set fits perfectly with more space left to offer. The washer and dryer both work excellent at the same time. Clothes are thoroughly washed and dried. I always keep it on the bulky setting because wash a lot of big loads. It's surprisingly quiet compared to other units, no banging around. I was concerned it would be smaller and I would have to do more loads, but it turns out I can wash more at once! Installation was relatively easy.",71
negative,I have a 304 stainless steel sink. The remote works flawlessly. No issues at all.,71
negative,Es una herramienta muy útil para lugares donde no hay las conexiones para las mangueras pero falta q fuera también secadora,71
positive,Need to replace because resistors burnout on the original.,71
positive,Exact replacement,71
negative,"I have to admit that I bought this because it was cheap and I prefer steep my coffee, like what happens when you use a french press. I suppose this works as expected, but water actually drains too slowly for my application and I wish the pocket was a bit deeper for use with my travel mugs. On the bright side, cleanup is easy. So far my favorite is the Kuhn Ricon Single Cup Easy Brew.",71
positive,N/a,71
positive,"It's pretty straight forward and easy to use. It's big, but if you have the space it's fine. It makes ice pretty quick after the first one. The internal tray doesn't hold as much ice as you would like but I just move it to a bin in the freezer as it makes the ice so not a big deal.<br /><br />Filling this up once makes a decent amount of ice. I find I only use this about once every two weeks to make ice.  I do not recommend letting the ice melt and remake into ice again. You're just wasting electricity doing that.  You could do it. But I wouldn't.<br /><br />You can adjust how solid you want your ice cubes by adding or subtracting minutes.  Easy to clean. Easy to use. And it's not that stupid bullet ice.",71
positive,What I needed,71
positive,"Fixed a broken latch, installed in 10 min, one of the best purchases I've ever made off amazon.",71
positive,Working well so far.,71
positive,"It doesn't spoil the refrigerator design, which is very important to me.<br />Nice to touch. Easy to wash.<br />Very helpful for saving my time on cleaning the refrigerator door. Cool!",71
positive,Product is used in a humidifier and seems very well made and the humidifier is producing more humidity now since using this product from Fette.,71
positive,I replaced a similar product which was past its life expectancy. I just popped out the tubing and pushed it in the new one. No leaks. Water tastes good.,71
positive,REASONABLE!!!,71
positive,Just got off a week camping trip at the beach. I like to keep my drinks on ice when camping and this unit worked perfectly. Just keep water in it and the ice will come. I did not buy any ice before or during the trip.,71
positive,Low cost. Nice quality. Easy to install. Higher flow than OEM filter.,71
positive,"Works great in Keurig coffee maker using EZ-Cup filter holder.<br />Saves money from using pre-fab coffee pods and you can use your favorite coffee.<br />I use the Jamaican Blue Mountain coffee from Costco.<br />Good price for 300 pack and easy to dispose of used paper filter, instead of washing the standard stainless steel filter basket each time.<br />Comparison (Pods vs. grind your own beans and use paper filters):<br />If you drink 2 cups per day (2 pods/day = 2x $0.75x365 = $547/year vs. paper filters & grind your own beans = 2x$0.12+$0.20x365 = $233: savings of $314/year over pre-fab Pods)",71
positive,Easy to replace and fixed the problem.,71
positive,Looks a little bit cheap. It fixed perfect like the original. They all came inside a generic plastic bag. Fast shipping.,71
positive,This little gem of an ice maker should be in everyone’s kitchen! We recently bought a new super huge refrigerator WITHOUT an ice maker because our previous model’s ice machine was such junk!!! I bought this tiny little countertop unit to supplant an in-line refrigerator unit and I am So glad I chose this route!! This little countertop unit is THE one to buy!!! Get you one today!!!,71
positive,great product,71
negative,"Not wow-ing me.  The product is flimsy, with gaps between the plastic halves.<br /><br />Worse, there is NO SEAL around the flapper on any side.  In summer you will still get some dryer air inside, and in any season you will get outside air and bugs in through the valve.<br /><br />Still trying to decide if I even want to install this or send it back.",71
positive,It worked perfect for securing dishwasher!,71
negative,"bought a two pack of these- the OEM part was $40! Put one into my dryer, worked great- for one week. I just put the other one in.<br /><br />if you have nothing better to do than disassemble and reassemble your dryer, these are fine. if you want it to work for more than a week, get the OEM part",71
positive,"I have been buying these for years and they make a great cup of coffee. No bitterness, just nice and smooth. Have tried many others and these are the best. Also they never rip. Try them, you will love them!",71
negative,OK,71
positive,"For the price this is amazing, I honestly would be satisfied even if I paid $500 for this. The stainless finish matches my appliances perfectly. The fan is very quiet and VERY powerful. The fact that it comes with the re-circulating vents at this price point is unreal. My only issue I suppose is that the LED bulbs are very yellow, not like a &#34;soft&#34; yellow, I mean a neon yellow... however, that is easily fixed with a new set of bulbs. Appears to be high quality but only time can tell that. Highly recommend.",71
positive,These fit and worked in my older GE Spectra. Installation was simple.,71
positive,GOOD INVESTMENT,71
positive,Easy to install operate great and looks good,71
negative,"I was replacing the bearings so figured I would replace hub also.  The inner white piece is pretty loose when set inside outer hub piece.  I just used the grease that came with the bearing kit and applied grease between all the teeth (on both pieces).  That created a tighter fit.  The original hub seemed fine, so I'm hanging on to it just in case.",71
positive,Just what I needed.  Good Price and fast delivery,71
negative,"The first one I ordered, the coils didn’t work and it wouldn’t make ice. I returned it and got a new one and it does make ice. The low water level light does not work so I have to keep an eye on it or it will cause cavitation in the pump as it tries to pump with no water. I’m assuming this will eventually break it, but I need the ice and it does make ice. It’s also quite loud, especially when its out of water and the pump keeps running.",71
positive,Perfect match for what I wanted. Installed the part and my Kenmore dryer is working great,71
positive,"Easy to install on dryer. Heavy duty, and works as expected.",71
negative,"This is a cool product but unfortunately the batteries only last 1-2 months, and also the Bluetooth range is very low, so unless your 20-30 ft from it it will not refresh in the app.",71
positive,"Fit my Whirlpool no problem, for the price can't beat.",71
negative,"The concept is right, but materials could be better.<br />This DOES launder materials better than any machine on the market, BUT needs improvement.<br /><br />The cone is very hard plastic and could be more flexible to reduce stress on fabrics.  The good quality pole screws into the cone too loosely, to the point that it must be tightened every minute of use ... I plan to glue it on before the next wash.",71
positive,it fits the fridge. i works good. It is a Good price. I would recommend it. What more can I say?,71
positive,"replacemrnt was a snap, the timer was a perfect match for the broken one",71
positive,"Great price, simple to install.  Will order again when we need to.",71
positive,"It's OEM, fixed the problem. Easy to install, everyone can do it.",71
positive,Make sure you save all external parts as this is just the motor.,71
negative,"This thing is so greasy it's hard to install and it's so thin and cheap it's impossible not to dent it and create buildup issues. Worst of all, when installed the dryer needs to be a foot out from the wall. Overall, absolute garbage. I'm sure the trash picker who added it to his shopping cart of scrap metal was happy to have it.",71
negative,After time on the phone and finally ordering the item did not fit.,71
negative,"Believe what the others are saying, these are terrible.  I'm not sure if they changed the design recently, but they don't flow water and make the refrigerator's water valve shudder when installed.  Nothing flowed after that.  Bought a genuine GE filter at a store and everything started working again.  Avoid these!",71
negative,These are for very small eggs. Our chickens eggs would not fit the cradled spots...too small,71
positive,arrived promptly. and is an exact duplicate of the orig.,71
positive,As described.  Works well!,71
negative,"I purchased these in Feb 2020, installed the first on in March, worked for a month, installed the second one, no water. I quickly assumed the pump went out on the refrigerator. I did some research today and discovered the problem is the filters. I took the filter out, good water flow, put the filter in, no water flow. Tried the 3rd filter, same problem. Junk. Don't buy.",71
positive,Great product!,71
positive,Realmente es un gran producto.. ahorramos mucho dinero.. fácil de poner yo misma lo hice.. buen precio,71
positive,It blends in with my range and keeps all those small item from falling between the cracks,71
positive,It was ordered over night delivery and arrive on time.<br />It was the correct replacement part.<br />It is working great.,71
positive,Excellent,71
negative,[[VIDEOID:2ba79ca383ba355074b6c47b6e684c7e]] Waste of money.. was hopeful and I️ liked the concept..,71
positive,Used this on my Kitchenaid fridge where the freezer drain froze up. This is the TSB replacement. So far no issues.,71
negative,Not long after the install the fridge read it as needing to be replaced. A waste of money. I’ll go buy them from the manufacturer or Home Depot instead.,71
positive,"But, let me tell you, this is the best knob ever. it fit my GE drier like it was made for it (well, i guess it was, so that makes sense) but really, if you need a white knob for your GE drier, that happens to be one of the driers listed here. you'll be mighty happy. You can thank me later.",71
positive,"Did fit KitchenAid, even though it doesn't look like the original. Much cheaper than the original product. Will see  how long it will last.",71
positive,Perfect for traveling to parties. Lid snaps on nicely. Its very sturdy.,71
negative,Broke in less than a month. We installed it properly and used it with care. I suggest that you do not waste your time or money on this garbage.,71
positive,Easy to trim and cleans up easily,71
positive,"Whom ever invented this little unit… thank you, it does what it states..  I’ve seen on YouTube with good reviews.<br />I haven’t had any issues with my unit. I’ll be honest I was a little skeptical about buying it, never heard of this name brand.<br />My only concern is that it doesn’t keep the ice as a normal refrigerator / freezer it melts away back into the water container. I can deal with that<br /><br />Pretty cool product for the price ..",71
positive,Not quite what I was looking for b/c my range hood was crushed carbon in a screen.  And it is a bit smaller than the older range hoods like my circa 1980's version but it works.  Which is better than I could expect for the other stores around here.,71
positive,We love it.,71
positive,"The original and the real thing, seems to work better than generic replacements, guess you get what you pay for sometimes.",71
positive,Just perfect replacement.,71
positive,So happy this worked. I highly recommend purchasing this if your dryer suddenly stops working.,71
positive,So far these have been great. Easy to use and clean. Sturdy and well made.  Holding up well to daily use!,71
negative,Installed and rinsed four gallons through.  Strong plastic or chemical taste.,71
negative,so so,71
positive,As described. Easy to install. Refrigerator was working within minutes.,71
positive,"The item arrived in good packaging. After installing it on my dishwasher, it runs fine like it used to.",71
positive,Fast repair of our Whirlpool gas dryer after viewing a You Tube video.,71
positive,"my refrigerator ice maker broke, this was a perfect option. A little noisy, but makes ice cubes fast & fits my needs, perfect",71
positive,"At this price, it's astonishing that these parts work as well as they do.",71
positive,"Much easier than expected to install new parts, well worth spending the money instead of buying a new dryer.",71
positive,VERY GOOD!!,71
positive,"BestAir water treatment works will, is inexpensive.<br />Repeat buyer.",71
positive,They are hard to find this is a old humidifier and no one sold the filters in this area so we thought we have to bye a new humidifier but luck would be u still sell them thank you!,71
positive,Fit like a glove worth the money and wait.,71
positive,"Excellent choice. I have used this every day for over 4 years with no problems. Tap gently to remove used coffee grounds. Rinse. Reuse, over and over. Save money on paper filters. Save the land fills. Enjoy your coffee.",71
positive,Came with complete instructions..easy to follow.,71
negative,"We bought a GE Gas Profile Dryer 4 years ago.  We have repaired it ourselves, over 4 times.  It is now broken, again, because it is made with cheap plastic parts.  The drum seal has broken twice.  Just take a look online and do a search.  You will find more sites for how to repair, and sellers of replacement parts than anything else.  That should warn you that it is just junk!  Worst part is: It takes 2 hours, high heat to dry one load.  TOTALLY useless.  I'm fed up, and I will be buying a new dryer this time.  NOT A GE BRAND, for anything, EVER! I would have given zero stars, but it won't let me.",71
positive,These are a perfect fit for my stove.,71
